"id","close_date","price","close_price","zip"
159057,"2012-2-24",119900,119000,"30052-4995"
159059,"2012-3-09",59900,59000,30039
159061,"2012-2-29",75000,61000,"30039-8042"
159062,"2012-3-08",123400,120000,30039
159067,"2012-6-20",90000,96600,"30045-6255"
159068,"2012-4-13",169900,161000,30078
159070,"2012-6-28",74900,66330,30017
159071,"2012-2-28",77500,79500,"30052-8922"
159072,"2012-1-06",33900,33000,"30039-6538"
159073,"2012-1-27",91900,91900,"30047-4755"
159076,"2012-1-06",134900,134000,"30052-8172"
159079,"2012-1-13",164500,160000,"30039-6042"
159081,"2012-4-10",80000,80000,30078
159082,"2012-7-18",100905,107000,"30039-2720"
159083,"2012-1-13",41500,47000,"30046-6068"
159085,"2012-2-03",175000,175000,"30047-4708"
159087,"2012-1-26",69900,70000,30045
159091,"2012-3-27",149900,144000,30047
159093,"2012-1-18",114900,86835,30078
159096,"2012-2-03",45000,35000,"30039-3952"
159098,"2012-3-16",79900,73000,30078
159099,"2012-2-07",102500,98665,"30052-8408"
159100,"2012-2-23",86500,88000,30052
159101,"2012-2-21",104900,104000,30039
159102,"2012-1-11",146900,149000,30039
159103,"2012-1-27",29900,30000,30039
159104,"2012-3-13",45000,54000,30078
159106,"2012-4-05",89900,87000,"30078-5056"
159107,"2012-1-04",84900,84900,"30039-5444"
159110,"2012-2-08",149500,145000,30046
159112,"2012-3-02",75000,67900,"30039-2767"
159114,"2012-1-19",115000,115000,30039
159116,"2012-3-30",85000,85000,30087
159118,"2012-1-20",64900,55100,30045
159120,"2012-5-11",149900,149900,30045
159125,"2012-3-07",85000,79000,"30078-6637"
159126,"2012-2-23",153111,150000,"30052-7848"
159127,"2012-3-06",134900,126000,30052
159129,"2012-1-10",84900,85000,"30039-5138"
159130,"2012-1-27",82500,80000,30052
159132,"2012-2-15",44900,45000,30078
159133,"2012-3-09",64900,56000,30052
159136,"2012-1-13",45000,45000,30078
159138,"2012-2-24",59900,52000,"30052-2489"
159139,"2012-2-01",31500,30000,30039
159140,"2012-2-01",104000,104000,"30052-8770"
159141,"2012-4-26",124900,124900,"30078-8520"
159142,"2012-6-04",152100,98202,30052
159143,"2012-3-28",88900,85900,30087
159145,"2012-1-20",39900,37000,30039
159146,"2012-4-06",45000,38000,30087
159147,"2012-2-17",30300,34500,"30039-8074"
159148,"2012-1-10",145900,122000,"30078-5046"
159150,"2012-5-31",159900,155000,"30039-8553"
159151,"2012-4-20",119900,108000,30039
159153,"2012-3-15",135000,148000,"30052-0000"
159154,"2012-7-27",79000,75500,"30052-8893"
159155,"2012-5-07",74900,65000,30078
159160,"2012-5-24",99000,89000,30039
159161,"2012-1-26",75000,78300,"30039-5296"
159162,"2012-3-01",145000,130000,30017
159163,"2012-1-27",34900,31022,"30039-5614"
159164,"2012-1-17",69400,80950,30087
159165,"2012-1-31",94900,100000,30039
159166,"2012-2-23",108888,97000,"30047-4726"
159167,"2012-1-20",150000,149000,30039
159168,"2012-1-31",102500,102500,"30017-1031"
159170,"2012-1-17",149900,122449,"30017-1601"
159172,"2012-1-17",84900,81000,"30046-6173"
159174,"2012-3-15",160000,165000,"30052-6214"
159175,"2012-1-12",74900,74900,"30052-8721"
159176,"2012-3-27",94900,96000,"30039-5678"
159177,"2012-2-09",139900,136000,30039
159178,"2012-6-26",69900,55000,"30039-8058"
159179,"2012-1-09",84900,76000,"30039-6831"
159180,"2012-3-05",69900,65000,"30045-7162"
159181,"2012-2-15",121900,121900,30039
159183,"2012-2-23",114900,114900,"30039-6282"
159185,"2012-7-05",50000,50000,30047
159187,"2012-1-13",44900,52000,"30087-3830"
159188,"2012-1-18",159000,156100,30087
159189,"2012-2-13",150000,150000,"30052-6631"
159192,"2012-8-01",139000,139000,"30017-1931"
159194,"2012-2-17",89000,84000,"30039-4254"
159195,"2012-7-23",119900,114000,"30052-8210"
159196,"2012-2-10",120000,120000,30039
159197,"2012-1-13",96000,106900,30039
159198,"2012-7-20",100000,100000,30052
159199,"2012-3-27",78000,83000,30039
159200,"2012-1-27",182900,178900,30039
159202,"2012-4-23",80000,82000,"30017-4215"
159203,"2012-4-06",135850,130199,"30017-2801"
159205,"2012-2-29",36000,35000,30087
159206,"2012-5-15",59900,57900,30039
159207,"2012-2-28",165000,163000,30039
159208,"2012-7-31",69000,63000,"30087-4011"
159209,"2012-1-05",58000,58000,30039
159210,"2012-7-03",50000,40000,30039
159211,"2012-1-12",44900,43000,30052
159212,"2012-3-30",80700,81000,"30039-6811"
159213,"2012-1-04",89900,89900,"30039-4739"
159214,"2012-3-30",85000,71500,30047
159216,"2012-3-07",78600,75900,30039
159217,"2012-1-20",95900,87150,"30039-4142"
159220,"2012-3-26",51200,35500,30039
159221,"2012-1-31",86000,86426,30052
159222,"2012-3-30",179900,170000,30078
159223,"2012-1-24",54900,50000,"30046-6184"
159224,"2012-4-20",74900,71150,30078
159225,"2012-3-29",59900,55000,"30052-5455"
159226,"2012-1-11",47000,43000,30078
159227,"2012-4-06",175100,161600,30078
159228,"2012-1-30",114900,104000,"30052-2263"
159229,"2012-3-16",124900,124900,"30052-5828"
159230,"2012-2-10",50000,45325,"30039-6683"
159231,"2012-1-20",79900,79900,30052
159232,"2012-1-06",184900,172000,"30045-9742"
159233,"2012-5-29",65000,53000,30039
159234,"2012-1-20",66900,72000,"30078-3876"
159236,"2012-1-27",45000,38424,"30078-4155"
